date,steps,daily_movement,cal_total,high,low,medium,rest,duration,awake,efficiency
2021-06-18,8770,7.986,2570,1,336,18,540,540.0,65.0,88
2021-06-19,10509,9.419,2698,0,416,16,485,595.0,40.5,93
2021-06-20,10060,8.317,2616,0,434,16,601,500.0,29.5,94
2021-06-21,7118,5.743,2463,0,332,7,624,431.0,33.0,92
2021-06-22,7777,6.877,2510,0,323,19,440,553.0,39.5,93
2021-06-23,8596,6.999,2573,0,391,10,539,513.0,32.5,94
2021-06-24,11255,9.527,2750,0,458,30,498,580.0,137.5,76
2021-06-25,8594,6.921,2653,0,418,13,478,519.0,56.0,89
2021-06-26,9913,8.676,2724,1,394,35,449,500.0,87.5,83
2021-06-27,5653,4.715,2348,0,254,8,725,742.0,101.0,86
2021-06-28,7536,7.174,2428,0,290,13,753,572.0,90.0,84
2021-06-29,10217,9.102,2643,0,421,13,467,487.0,42.5,91
2021-06-30,6740,5.865,2485,1,309,14,496,461.0,50.0,89
2021-07-01,7680,6.522,2560,0,332,14,446,475.0,47.5,90
2021-07-02,9012,7.778,2613,0,339,27,491,445.0,42.5,90
2021-07-03,9986,8.173,2637,0,370,31,457,459.0,36.0,92
2021-07-04,7051,6.433,2507,0,289,23,520,495.0,56.0,89
2021-07-05,10253,9.288,2713,0,411,27,458,481.0,55.5,88
2021-07-06,5824,4.671,2414,0,242,13,506,409.0,37.0,91
2021-07-07,6441,5.572,2429,2,247,13,562,451.0,27.0,94
2021-07-08,8763,7.698,2585,0,351,23,467,295.0,35.5,88
2021-07-09,5346,4.1,2447,0,260,9,218,399.0,53.5,87
2021-07-10,7353,6.06,2515,0,333,11,411,467.0,64.5,86
2021-07-11,13212,12.09,2836,2,431,39,472,415.0,35.5,91
